id,category_id,variant_id,speaker_id,speaker_sex,variant_type,word,vector
A_002_21,2,21,1,F,low,baby,-251.1317600576867 -294.47992426245827 -392.3354980372012 -479.70075621412497 160.79229325912576 162.6480038182828 165.49700182649795 125.70331227122139 -48.45604150128172 -43.976676672332594 2.5083679361644196 43.138164896699074 45.9280207829718 40.28361784048198 55.315007911913185 70.65825813629853 27.06182168243088 52.986351647722856 77.84675436838478 73.81562165637536 27.459233302634637 24.95065600394773 22.600561689279893 26.381084867178323 -56.32687332899515 -61.83332643649592 -42.82205465028115 -33.46881130459438
A_002_22,2,22,1,F,low,baby,-254.53673427989412 -296.4924163922694 -375.83373956233595 -445.72308150501476 162.32504022190665 169.40521066631828 172.21544760265766 132.06806019994895 -43.77038270783051 -37.9238380749715 -12.651502202588624 14.05094745592266 42.89552563990103 36.14961872744159 26.3822109781852 53.71880050116491 25.802122281952713 50.85350221029874 70.39840767519885 77.08544487147944 20.56170059985694 19.734436055097575 23.76659696013605 24.573281131692212 -50.57941799649302 -53.75511295676664 -40.37659397128215 -35.565378619899676
A_002_23,2,23,1,F,low,baby,-273.68981710011514 -309.36712963597023 -373.5831156469751 -461.64856882787325 159.58296954383988 173.64092702549394 151.7828953551615 117.35787804667457 -40.50791646346773 -34.86246525688345 -7.340721071663718 29.315425915332074 42.492239026772594 23.987094130461305 54.8227926887134 71.77617669327253 15.699014050408397 34.81086144713611 40.32825375180083 57.98513108843649 27.57708953921224 24.14902794267868 28.91484610066811 31.02769225377412 -48.030071641082614 -53.464628071001556 -20.58481797555438 -30.332335883199303
A_003_01,3,1,1,F,low,ball,-338.06859787375066 -348.3889391665486 -397.1212460677476 -491.2958728374674 179.76486983318023 208.67870644798512 196.26399400077312 161.09867812588897 26.508952551537767 31.682214939039078 54.902929837698636 75.51380768954112 46.36518786520527 44.93023711235937 60.15754894909085 44.8321987303382 -15.74120466832126 -5.660017430041368 -7.847673486730578 -0.4901890202064909 -17.25928858245433 -55.30713319182905 -60.49424149367256 -37.12010652692639 -26.762140171691765 -47.51253638388815 -33.595808933730964 -21.408111292101243
A_003_02,3,2,1,F,low,ball,-329.9558641546879 -335.2334076284106 -395.74228283693526 -459.3163328538182 175.28897521400762 193.4202498341959 188.27336802681972 155.77851295770478 29.9127366205351 44.42683759259471 76.20625998295785 90.74092313574124 26.19867890694735 20.457420237826838 28.798389551445805 36.41379040192714 -12.57618465269732 -23.08423206823895 -24.6463075705532 -9.449677094640029 -24.493241256330542 -45.54145858261603 -59.14964897775603 -38.35209548817407 -43.324391277008274 -56.71265066416459 -44.61166511097517 -30.210257717201188
A_003_03,3,3,1,F,low,ball,-335.1257191148402 -357.49628303192094 -397.94092382818855 -468.8379369121466 199.93550832030132 220.9728975658835 220.00686702735817 182.26193811916994 17.095944879659804 31.313295302731227 66.12303233213669 94.5549413032056 16.322039317557106 -0.2637041197692843 12.775211237773078 29.716849087576087 -13.179974848367777 -4.59497195483479 -10.15719009109782 -11.161792709691705 -4.898031326538825 -30.192229332272284 -39.577895463029805 -31.084085107942332 -20.74735391085398 -44.53957459156024 -43.20338334291935 -27.954953054712306
A_003_04,3,4,1,F,low,ball,-313.78382109594327 -315.2216768513322 -384.7763176875401 -464.0638723435639 165.89112969781576 197.16526268156082 205.28443812084765 162.26708725126798 3.1031017186672534 8.983152326008677 52.439977229307054 81.19808280175809 46.2472239788092 36.650769214893785 31.236611327774042 47.24084575712173 -21.260280548892936 -12.288992682812182 -0.9355778958796546 4.486915853450692 -18.225666817885408 -55.57344120817949 -66.58827471691124 -47.297783645160614 -23.169078835123862 -43.89200972295409 -48.211837415817456 -35.04506114526866
A_003_05,3,5,1,F,low,ball,-295.398339400107 -301.98504427623476 -380.4917310282938 -447.1216785381757 163.77618239431965 186.46451368993536 179.00953859478415 136.60241182394313 4.129778578305535 18.572873088263705 64.07731349769601 82.22310480622684 37.11939987469931 34.18865618971732 41.53288146971978 52.443300074675875 -25.333371647609134 -21.43978197935997 -0.3909279567740378 3.7700258697533364 -38.22577272375122 -65.07302829561456 -57.65022513796487 -31.634539378922206 -27.77118441932425 -41.865707162340925 -39.51604758843537 -20.352023529784567
A_003_06,3,6,1,F,low,ball,-311.1065292620354 -301.536821185302 -373.431636646521 -450.30431767084355 167.733576240003 183.3613995071375 178.01087002943666 145.49435927961517 16.685759494945117 18.85475787633358 57.13812059488539 79.25377922207646 33.150571252095496 46.60922691177824 51.050385188279265 49.755545859612255 -23.608461363312706 -23.044327986921417 -5.221245939929819 8.991269243244009 -30.020756973467194 -62.98972126842273 -59.84546549428082 -33.5289288538829 -25.471896193341905 -34.9547119353042 -41.34079087906824 -29.294852450978585
A_003_07,3,7,1,F,low,ball,-306.2248378335473 -346.62969072681835 -412.48280543138367 -488.84680032561346 180.62185807922532 196.8035682968822 179.24229936910012 136.9058937133163 12.766065294913643 25.771938614670553 53.7813712387411 79.98643078060056 39.04968322241096 29.53347469480014 35.314480171847855 48.64130630795744 -27.68711586899324 -4.861067914780459 14.087433606184089 20.010170984937165 -22.12913145004784 -45.4672168308869 -37.00733814062502 -14.327614054292093 -26.143207170665995 -45.238900417735245 -50.35960918365166 -28.20099310526897
A_003_08,3,8,1,F,low,ball,-289.57391100048017 -307.422333563484 -376.13722568257725 -453.97796793543426 176.01312071924613 199.4884659133377 202.0574355732914 165.6543702482699 2.632360841369455 7.344387960958499 42.22837748843879 65.12287706782573 43.24010419876532 27.147197623249852 23.615638169888754 30.89647556055359 -32.67222444863471 -27.86851932143002 -0.918255788121308 11.44970418138156 -12.548386820122726 -35.21494511154942 -38.07528622301788 -27.93641976782751 -28.096609294352778 -46.23031879065773 -51.51772355074921 -40.03810227633883
A_003_09,3,9,1,F,low,ball,-302.54235315885313 -314.5410132102791 -390.09491946944854 -468.3414032190001 160.42019024565616 184.32046138831288 184.54705027269455 148.19322861354243 8.708040994902952 13.793934596335891 45.69171920754165 70.28696787199888 49.40188362729489 40.194031111997866 28.56575414151111 31.423741175532697 -31.005335550748974 -24.777941204461197 -2.8154756292430476 1.4395387841021943 -19.517661969535183 -47.75148706632303 -49.17240534446832 -34.768085611676476 -34.86205131572676 -46.23960857613595 -45.91179874984415 -37.686888868121386
A_003_10,3,10,1,F,low,ball,-276.4764594765611 -303.76489488147064 -362.54695920370654 -441.21746510883685 156.86292961407258 173.4332627043956 173.01181656870534 129.92353634294184 5.556738015109477 18.55754793439803 45.02521688965591 65.50747276965123 43.69640607504732 35.97229494928489 29.690920830557445 39.55986387274449 -33.66567200206778 -27.134828351416726 -9.911901086846271 6.814256503306474 -25.430998811644073 -52.66902859154341 -52.91089310883769 -28.939982684675783 -27.410861281922287 -40.7833845892253 -44.83043702661447 -31.915607590134165
